formula,type,activity,Syngony,shape,"length, nm","width, nm","depth, nm",Sufrace,surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,Subtype,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C"
Fe2O3,meo,peroxidase,5,,11.7,12.7,13.7,naked,naked,0,0,0.00,0.5304,0.000054300,TMB + H2O2,TMB,0.0300,1.2000,500.000,0.0625000,3.5,25
Fe2O3,meo,peroxidase,5,,11.7,12.7,13.7,naked,naked,0,0,0.00,127.9200,0.000037700,H2O2 + TMB,H2O2,0.1000,700.0000,0.700,0.0625000,3.5,25
Fe2O3,meo,peroxidase,5,Hexagonal prism,110,110,110,naked,naked,0,0,0.00,0.7680,0.000005000,TMB + H2O2,TMB,0.2000,5.0000,880.000,0.0047900,4,37
Fe2O3,meo,peroxidase,5,Cube-like,100,100,100,naked,naked,0,0,0.00,0.9570,0.000006300,TMB + H2O2,TMB,0.2000,5.0000,880.000,0.0047900,4,37
Fe2O3,meo,peroxidase,5,Rod shaped,380,31,31,naked,naked,0,0,0.00,0.2570,0.000016500,TMB + H2O2,TMB,0.2000,5.0000,880.000,0.0047900,4,37
Fe2O3,meo,peroxidase,5,Rod shaped,330,30,30,naked,naked,0,0,0.00,0.3170,0.000015300,TMB + H2O2,TMB,0.2000,5.0000,880.000,0.0047900,4,37
Fe2O3,meo,peroxidase,5,Rod shaped,278,30,30,naked,naked,0,0,0.00,0.5180,0.000010600,TMB + H2O2,TMB,0.2000,5.0000,880.000,0.0047900,4,37
Fe3O4,meo,peroxidase,7,spherical,300,300,300,naked,naked,0,0,0.00,0.0980,0.000034400,TMB + H2O2,TMB,0.0500,0.8000,530.000,0.0400000,3.5,40
Fe3O4,meo,peroxidase,7,spherical,300,300,300,naked,naked,0,0,0.00,154.0000,0.000097800,H2O2 + TMB,H2O2,1.0000,"2,260.0000",0.816,0.0400000,3.5,40
Fe3O4,meo,peroxidase,7,quasi-spherical,13,13,13,naked,naked,0,0,0.00,0.3740,0.000026000,TMB + H2O2,TMB,0.1000,2.0000,250.000,0.0300000,7.4,30
Fe3O4,meo,peroxidase,7,quasi-spherical,13,13,13,naked,naked,0,0,0.00,54.6000,0.000018000,H2O2 + TMB,H2O2,1.0000,600.0000,1.000,0.0300000,7.4,30
Fe3O4,meo,peroxidase,7,spherical,500,500,500,naked,naked,0,0,0.00,0.2600,0.000003510,TMB + H2O2,TMB,0.0100,0.8000,10.000,0.0500000,4,25
Fe3O4,meo,peroxidase,7,spherical,500,500,500,naked,naked,0,0,0.00,6.6600,0.000001290,H2O2 + TMB,H2O2,0.0010,200.0000,0.500,0.0500000,4,25
Fe3O4,meo,peroxidase,7,spherical,30,30,30,naked,naked,0,0,0.00,0.2950,0.000007200,TMB + H2O2,TMB,0.0500,1.0000,10.000,0.0500000,4,25
Fe3O4,meo,peroxidase,7,spherical,30,30,30,naked,naked,0,0,0.00,0.2700,0.000035000,ABTS + H2O2,ABTS,0.0500,1.0000,10.000,0.0500000,4,25
Fe3O4,meo,peroxidase,7,spherical,8.1,8.1,8.1,naked,naked,0,0,0.00,0.2330,0.000176000,TMB + H2O2,TMB,0.0100,1.7000,663.800,0.0013200,3.6,25
Fe3O4,meo,peroxidase,7,spherical,8.1,8.1,8.1,naked,naked,0,0,0.00,479.9100,0.000275000,H2O2 + TMB,H2O2,0.0010,700.0000,1.653,0.0013200,3.6,25
Co3O4,meo,peroxidase,7,spherical,7.2,7.2,7.2,naked,naked,0,0,0.00,0.1030,0.000256000,TMB + H2O2,TMB,0.0100,1.7000,663.800,0.0013200,3.6,25
Co3O4,meo,peroxidase,7,spherical,7.2,7.2,7.2,naked,naked,0,0,0.00,173.5100,0.000189000,H2O2 + TMB,H2O2,0.0010,700.0000,1.653,0.0013200,3.6,25
NiO,meo,peroxidase,7,flower-like,15,15,15,naked,naked,0,0,0.00,0.0180,0.000024000,TMB + H2O2,TMB,0.0500,0.2000,100.000,0.1904762,4,30
NiO,meo,peroxidase,7,flower-like,15,15,15,naked,naked,0,0,0.00,1.7700,no,H2O2 + TMB,H2O2,10.0000,75.0000,10.000,0.1904762,4,30
Co3O4/CeO2,comp,peroxidase,7,rod-like,4800,250,250,naked,naked,0,0,0.00,0.3600,no,TMB + H2O2,TMB,0.0100,0.2000,880.000,3.0000000,4,25
Co3O4/CeO2,comp,peroxidase,7,rod-like,4800,250,250,naked,naked,0,0,0.00,132.2100,0.000043400,H2O2 + TMB,H2O2,880.0000,880.0000,15.000,3.0000000,4,25
Co3O4,meo,peroxidase,7,nanosheets,150,40,25,additional,naked,poly(N-Vinylpyrrolidone),0,,0.5100,0.000124100,TMB + H2O2,TMB,1.0000,3.0000,1.200,3.0000000,6,30
Co3O4,meo,peroxidase,7,nanosheets,78,23,15.5,additional,naked,poly(N-Vinylpyrrolidone),0,,140.5600,0.000034300,H2O2 + TMB,H2O2,50.0000,500.0000,0.800,3.0000000,6,30
CeO2,meo,peroxidase,7,spherical,6,6,6,additional,naked,poly(N-Vinylpyrrolidone),0,,0.4200,0.000137400,TMB + H2O2,TMB,1.0000,3.0000,1.200,3.0000000,6,30
CeO2,meo,peroxidase,7,spherical,6,6,6,additional,naked,poly(N-Vinylpyrrolidone),0,,138.3100,0.000039800,H2O2 + TMB,H2O2,50.0000,500.0000,0.800,3.0000000,6,30
Co3O4,meo,peroxidase,7,quasi-cubic,8.3,8.3,8.3,naked,naked,0,0,0.00,0.0630,0.000019000,TMB + H2O2,TMB,0.0100,2.7000,100.000,0.0200000,0,25
Co3O4,meo,peroxidase,7,quasi-cubic,8.3,8.3,8.3,naked,naked,0,0,0.00,0.6100,0.000032000,OPD + H2O2,OPD,0.0200,2.7000,100.000,0.0200000,0,25
Co3O4,meo,peroxidase,7,belt-like,31.1,31.1,31.1,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0790,no,H2O2 + TMB,H2O2,0.0003,0.0052,0.006,0.0108761,4,40
Co3O4,meo,peroxidase,7,belt-like,31.1,31.1,31.1,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0150,no,TMB + H2O2,TMB,0.0003,0.0062,0.005,0.0108761,4,40
Co3O4,meo,peroxidase,7,belt-like,48.1,48.1,48.1,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0910,no,H2O2 + TMB,H2O2,0.0003,0.0052,0.006,0.0108761,4,40
Co3O4,meo,peroxidase,7,belt-like,48.1,48.1,48.1,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0130,no,TMB + H2O2,TMB,0.0003,0.0062,0.005,0.0108761,4,40
Co3O4,meo,peroxidase,7,belt-like,26.9,26.9,26.9,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0262,no,H2O2 + TMB,H2O2,0.0003,0.0052,0.006,0.0108761,4,40
Co3O4,meo,peroxidase,7,belt-like,26.9,26.9,26.9,additional,naked,poly(N-Vinylpyrrolidone),0,1300000.00,0.0120,no,TMB + H2O2,TMB,0.0003,0.0062,0.005,0.0108761,4,40
Co3O4,meo,peroxidase,7,,20,20,20,naked,naked,0,0,0.00,0.0370,0.000062700,TMB + H2O2,TMB,0.0200,0.5000,50.000,0.0100000,5,25
Co3O4,meo,peroxidase,7,,20,20,20,naked,naked,0,0,0.00,140.0700,0.000121000,H2O2 + TMB,H2O2,0.0010,"2,000.0000",0.250,0.0100000,5,25
Co3O4,meo,peroxidase,7,sisal-like,125,35.7,35.7,naked,naked,0,0,0.00,0.0151,no,TMB + H2O2,TMB,0.2500,1.0000,880.000,0.0102719,4,30
Co3O4,meo,peroxidase,7,sisal-like,125,35.7,35.7,naked,naked,0,0,0.00,0.8268,no,H2O2 + TMB,H2O2,0.0400,0.2500,2.800,0.0102719,4,30
